s.no,Date,Quantity,Item,Price,Invoice no.,Customer Id,City,Category,Payment_Method
32,1/12/2025,13,627,₹ 130.00,32,239,Kochi,Home Decor,Debit Card
33,9/17/2025,76,637,₹ 760.00,33,311,Bangalore,Food,Credit Card
34,8/22/2025,12,2530,₹ 120.00,34,157,Bangalore,Accessories,EMI
35,4/15/2025,50,3070,₹ 500.00,35,224,Kochi,Food,Credit Card
36,2/22/2025,75,4690,₹ 750.00,36,475,Bangalore,Home Decor,UPI
37,6/18/2025,11,2020,₹ 110.00,37,115,Chennai,Cosmetics,EMI
38,4/10/2025,24,1396,₹ 240.00,38,409,Pune,Electronics,Credit Card
39,7/4/2025,99,1809,₹ 990.00,39,90,Noida,Food,UPI
40,7/15/2025,34,4870,₹ 340.00,40,28,Noida,Electronics,EMI
41,1/4/2025,2,3960,₹ 20.00,41,145,Pune,Accessories,EMI
42,4/27/2025,96,4927,₹ 960.00,42,452,Kochi,Accessories,Debit Card
43,2/19/2025,37,1786,₹ 370.00,43,387,Bangalore,Food,Cash
44,6/7/2025,6,4931,₹ 60.00,44,10,Kochi,Accessories,Cash
45,5/24/2025,4,4522,₹ 40.00,45,280,Chennai,Cosmetics,Cash
46,5/21/2025,68,4649,₹ 680.00,46,479,Noida,Electronics,Debit Card
47,8/12/2025,36,4597,₹ 360.00,47,46,Kochi,Electronics,EMI
48,6/5/2025,40,2566,₹ 400.00,48,53,Kochi,Accessories,UPI
49,10/21/2025,66,4755,₹ 660.00,49,55,Kochi,Home Decor,Debit Card
50,10/17/2025,14,1876,₹ 140.00,50,39,Noida,Cosmetics,UPI
51,3/31/2025,44,816,₹ 440.00,51,429,Bangalore,Cosmetics,Cash
52,6/13/2025,60,4071,₹ 600.00,52,313,Chennai,Electronics,Debit Card
53,3/17/2025,97,1350,₹ 970.00,53,10,Pune,Home Decor,Cash
54,5/10/2025,13,66,₹ 130.00,54,107,Bangalore,Cosmetics,UPI
55,2/19/2025,97,83,₹ 970.00,55,305,Bangalore,Food,Credit Card
56,3/2/2025,17,708,₹ 170.00,56,380,Chennai,Accessories,Credit Card
57,6/22/2025,24,628,₹ 240.00,57,336,Pune,Food,Credit Card
58,8/9/2025,87,3771,₹ 870.00,58,267,Chennai,Food,EMI
59,1/16/2025,50,3434,₹ 500.00,59,500,Pune,Accessories,UPI
60,10/12/2025,45,4241,₹ 450.00,60,190,Kochi,Electronics,Debit Card
61,4/19/2025,50,529,₹ 500.00,61,168,Noida,Home Decor,Credit Card
62,5/31/2025,2,2032,₹ 20.00,62,34,Chennai,Accessories,UPI
63,1/27/2025,6,2654,₹ 60.00,63,289,Chennai,Accessories,UPI
64,4/11/2025,30,377,₹ 300.00,64,373,Kochi,Accessories,UPI
65,5/14/2025,44,1142,₹ 440.00,65,298,Kochi,Cosmetics,Cash
66,5/22/2025,17,4504,₹ 170.00,66,298,Pune,Cosmetics,Credit Card
67,2/28/2025,71,1217,₹ 710.00,67,207,Kochi,Food,UPI
68,9/11/2025,91,4284,₹ 910.00,68,78,Chennai,Home Decor,Debit Card
69,6/22/2025,76,1971,₹ 760.00,69,189,Chennai,Home Decor,UPI
70,3/23/2025,5,2131,₹ 50.00,70,454,Pune,Home Decor,UPI
71,9/25/2025,71,4996,₹ 710.00,71,215,Pune,Cosmetics,UPI
72,3/18/2025,37,2332,₹ 370.00,72,411,Chennai,Cosmetics,Credit Card
73,4/28/2025,54,3964,₹ 540.00,73,476,Noida,Accessories,Cash
74,11/10/2025,32,864,₹ 320.00,74,105,Kochi,Home Decor,Cash
75,9/25/2025,47,4304,₹ 470.00,75,420,Kochi,Electronics,Cash
76,3/10/2025,70,553,₹ 700.00,76,338,Chennai,Food,Cash
77,3/1/2025,43,3071,₹ 430.00,77,412,Kochi,Electronics,EMI
78,4/25/2025,55,3538,₹ 550.00,78,22,Kochi,Cosmetics,EMI
79,9/22/2025,78,569,₹ 780.00,79,97,Kochi,Accessories,Debit Card
80,11/6/2025,94,3365,₹ 940.00,80,72,Pune,Electronics,UPI
81,2/21/2025,62,2302,₹ 620.00,81,399,Noida,Home Decor,EMI
82,8/2/2025,90,4488,₹ 900.00,82,43,Bangalore,Electronics,EMI
83,10/19/2025,11,2525,₹ 110.00,83,209,Noida,Food,EMI
84,7/29/2025,87,1597,₹ 870.00,84,486,Chennai,Electronics,EMI
85,7/4/2025,40,2674,₹ 400.00,85,377,Chennai,Food,Cash
86,9/16/2025,42,1461,₹ 420.00,86,351,Bangalore,Electronics,Cash
87,10/28/2025,4,2676,₹ 40.00,87,233,Kochi,Food,EMI
88,3/15/2025,46,3169,₹ 460.00,88,309,Noida,Cosmetics,UPI
89,6/24/2025,57,4820,₹ 570.00,89,344,Kochi,Food,Debit Card
90,10/21/2025,2,3742,₹ 20.00,90,291,Bangalore,Accessories,EMI
91,10/29/2025,40,716,₹ 400.00,91,451,Chennai,Electronics,EMI
92,2/24/2025,61,3648,₹ 610.00,92,270,Kochi,Cosmetics,Debit Card
93,2/3/2025,19,983,₹ 190.00,93,144,Chennai,Electronics,UPI
94,5/8/2025,4,1650,₹ 40.00,94,322,Chennai,Home Decor,Credit Card
95,8/22/2025,5,702,₹ 50.00,95,317,Chennai,Cosmetics,EMI
96,3/1/2025,97,757,₹ 970.00,96,306,Kochi,Accessories,Cash
97,5/10/2025,1,2036,₹ 10.00,97,396,Kochi,Electronics,Debit Card
98,8/5/2025,36,3382,₹ 360.00,98,422,Chennai,Food,Cash
99,8/6/2025,9,3626,₹ 90.00,99,145,Pune,Accessories,Credit Card
100,6/26/2025,99,2443,₹ 990.00,100,382,Noida,Electronics,Debit Card
101,1/25/2025,74,1946,₹ 740.00,101,358,Kochi,Accessories,UPI
102,1/3/2025,87,4492,₹ 870.00,102,306,Kochi,Food,Cash
103,9/16/2025,80,4348,₹ 800.00,103,131,Pune,Electronics,Cash
104,10/6/2025,97,2016,₹ 970.00,104,24,Kochi,Electronics,Credit Card
105,10/2/2025,23,4126,₹ 230.00,105,110,Pune,Food,Debit Card
106,4/22/2025,5,4581,₹ 50.00,106,213,Pune,Accessories,Cash
107,4/6/2025,7,4737,₹ 70.00,107,153,Pune,Cosmetics,Credit Card
108,8/10/2025,74,3717,₹ 740.00,108,223,Kochi,Electronics,Cash
109,8/9/2025,96,4111,₹ 960.00,109,76,Noida,Cosmetics,EMI
110,1/13/2025,83,1071,₹ 830.00,110,401,Pune,Accessories,Debit Card
111,3/29/2025,13,1621,₹ 130.00,111,192,Noida,Cosmetics,Cash
112,3/10/2025,8,2079,₹ 80.00,112,222,Chennai,Food,EMI
113,1/5/2025,21,1773,₹ 210.00,113,148,Bangalore,Food,Credit Card
114,11/5/2025,79,1401,₹ 790.00,114,42,Pune,Accessories,EMI
115,3/22/2025,95,2343,₹ 950.00,115,54,Noida,Electronics,UPI
116,7/8/2025,16,2642,₹ 160.00,116,49,Kochi,Cosmetics,Cash
117,1/30/2025,15,3679,₹ 150.00,117,44,Pune,Food,EMI
118,8/14/2025,23,1174,₹ 230.00,118,130,Kochi,Food,Cash
119,3/28/2025,63,2851,₹ 630.00,119,320,Pune,Accessories,Cash
120,7/25/2025,44,2293,₹ 440.00,120,107,Bangalore,Electronics,Credit Card
121,10/21/2025,35,4403,₹ 350.00,121,185,Kochi,Food,UPI
122,6/11/2025,59,431,₹ 590.00,122,442,Bangalore,Food,Credit Card
123,9/21/2025,33,4268,₹ 330.00,123,154,Chennai,Electronics,Debit Card
124,6/12/2025,22,1496,₹ 220.00,124,276,Kochi,Home Decor,UPI
125,5/28/2025,31,3466,₹ 310.00,125,280,Kochi,Accessories,Cash
126,5/4/2025,37,4788,₹ 370.00,126,146,Kochi,Food,UPI
127,3/22/2025,76,580,,127,121,Noida,Home Decor,Debit Card
128,6/19/2025,48,957,,128,414,Kochi,Home Decor,Debit Card
129,3/15/2025,32,388,,129,242,Kochi,Electronics,Debit Card
130,2/17/2025,68,491,,130,322,Pune,Electronics,Debit Card
131,5/1/2025,90,4426,,131,493,Chennai,Food,UPI
132,11/7/2025,7,716,,132,1,Bangalore,Food,Cash
133,5/8/2025,72,1083,,133,375,Chennai,Accessories,UPI
134,5/21/2025,10,1780,,134,359,Noida,Food,Debit Card
135,1/16/2025,71,149,,135,14,Kochi,Home Decor,UPI
136,5/15/2025,70,2930,,136,215,Bangalore,Cosmetics,Cash
137,4/14/2025,94,4019,,137,401,Noida,Electronics,Cash
138,3/22/2025,16,3235,,138,44,Chennai,Cosmetics,Credit Card
139,2/28/2025,23,36,,139,224,Kochi,Cosmetics,UPI
140,4/17/2025,24,4695,,140,437,Chennai,Cosmetics,EMI
141,9/25/2025,80,2357,,141,195,Bangalore,Accessories,Debit Card
142,4/3/2025,15,4424,,142,86,Chennai,Food,Cash
143,6/3/2025,96,1058,,143,182,Kochi,Accessories,UPI
144,2/1/2025,64,4617,,144,146,Noida,Cosmetics,Cash
145,8/15/2025,57,1032,,145,489,Chennai,Electronics,Credit Card
146,2/9/2025,49,4421,,146,315,Chennai,Home Decor,Debit Card
147,4/19/2025,80,3190,,147,422,Chennai,Cosmetics,EMI
148,1/17/2025,51,4170,,148,317,Chennai,Home Decor,UPI
149,10/3/2025,44,1271,,149,453,Bangalore,Food,Debit Card
150,9/9/2025,60,3975,,150,470,Noida,Food,UPI
151,9/1/2025,86,1691,,151,113,Noida,Home Decor,EMI
152,3/29/2025,48,2675,,152,6,Noida,Food,Cash
153,6/11/2025,6,1421,,153,174,Bangalore,Cosmetics,Debit Card
154,1/25/2025,90,4206,,154,112,Kochi,Electronics,Credit Card
155,7/7/2025,46,1430,,,165,Pune,Food,EMI
156,11/2/2025,27,3866,₹ 270.00,,434,Chennai,Accessories,Debit Card
157,9/26/2025,15,2419,₹ 150.00,,51,Noida,Electronics,Debit Card
158,10/27/2025,53,3842,₹ 530.00,,94,Pune,Accessories,Cash
159,9/11/2025,51,2753,₹ 510.00,,82,Kochi,Home Decor,UPI
160,9/28/2025,42,3284,₹ 420.00,,1,Pune,Home Decor,Cash
161,3/7/2025,14,447,₹ 140.00,,255,Pune,Electronics,Debit Card
162,7/27/2025,4,3435,₹ 40.00,,442,Pune,Accessories,Debit Card
163,10/10/2025,82,2584,₹ 820.00,,155,Pune,Accessories,EMI
164,7/28/2025,91,4757,₹ 910.00,,158,Pune,Accessories,Cash
165,9/1/2025,96,3570,₹ 960.00,,55,Bangalore,Cosmetics,Debit Card
166,4/11/2025,69,4073,₹ 690.00,,149,Bangalore,Cosmetics,Cash
167,5/24/2025,55,4602,₹ 550.00,,363,Bangalore,Home Decor,Debit Card
168,2/6/2025,37,1878,₹ 370.00,,97,Bangalore,Electronics,EMI
169,10/17/2025,18,2195,₹ 180.00,,58,Pune,Accessories,Cash
170,11/11/2025,3,1117,₹ 30.00,,426,Chennai,Cosmetics,Cash
171,2/4/2025,47,1908,₹ 470.00,,273,Bangalore,Home Decor,Cash
172,9/10/2025,83,2989,₹ 830.00,,12,Pune,Electronics,Cash
173,11/12/2025,93,838,₹ 930.00,,365,Chennai,Accessories,Credit Card
174,10/18/2025,54,4366,₹ 540.00,,149,Chennai,Cosmetics,Debit Card
175,7/21/2025,16,643,₹ 160.00,,316,Pune,Electronics,Credit Card
176,7/14/2025,67,4989,₹ 670.00,,352,Kochi,Home Decor,UPI
177,3/8/2025,56,4559,₹ 560.00,,126,Bangalore,Electronics,EMI
178,10/16/2025,90,4836,₹ 900.00,,314,Chennai,Home Decor,Credit Card
179,5/28/2025,33,3797,₹ 330.00,,500,Chennai,Home Decor,EMI
180,3/25/2025,96,1471,₹ 960.00,,111,Pune,Home Decor,Cash
181,10/12/2025,94,3244,₹ 940.00,,50,Kochi,Electronics,EMI
182,3/31/2025,96,2261,₹ 960.00,,398,Pune,Electronics,UPI
183,10/20/2025,64,4350,₹ 640.00,,98,Bangalore,Home Decor,Credit Card
184,4/15/2025,99,1183,₹ 990.00,,74,Noida,Home Decor,EMI
185,3/25/2025,67,2557,₹ 670.00,,73,Chennai,Electronics,Credit Card
186,9/15/2025,58,1770,₹ 580.00,,10,Noida,Accessories,UPI
187,8/16/2025,31,2017,₹ 310.00,,62,Kochi,,Debit Card
188,10/11/2025,5,4262,₹ 50.00,,362,Kochi,,UPI
189,4/1/2025,77,2743,₹ 770.00,,305,Noida,,Debit Card
190,5/10/2025,89,1462,₹ 890.00,,473,Kochi,,Credit Card
191,1/3/2025,26,1570,₹ 260.00,,240,Pune,,UPI
192,3/4/2025,78,2057,₹ 780.00,192,44,Bangalore,,Debit Card
193,5/24/2025,30,3056,₹ 300.00,193,197,Chennai,,Cash
194,2/16/2025,76,1441,₹ 760.00,194,166,Noida,,Debit Card
195,9/4/2025,43,4992,₹ 430.00,195,82,Bangalore,,Credit Card
196,6/19/2025,37,1123,₹ 370.00,196,9,Pune,,Debit Card
197,5/28/2025,59,3939,₹ 590.00,197,398,Bangalore,,Credit Card
198,10/2/2025,70,2707,₹ 700.00,198,400,Pune,,EMI
199,1/16/2025,21,3900,₹ 210.00,199,491,Noida,,Debit Card
200,10/28/2025,68,4902,₹ 680.00,200,141,Pune,,EMI
201,3/30/2025,65,637,₹ 650.00,201,486,Bangalore,,Cash
202,2/15/2025,55,3557,₹ 550.00,202,111,Kochi,,Credit Card
203,3/29/2025,26,1878,₹ 260.00,203,141,Chennai,,EMI
204,7/3/2025,56,2056,₹ 560.00,204,304,Noida,,Credit Card
205,1/31/2025,7,4427,₹ 70.00,205,261,Kochi,,Credit Card
206,3/23/2025,29,3664,₹ 290.00,206,73,Pune,,Credit Card
207,7/15/2025,20,2253,₹ 200.00,207,185,Chennai,,EMI
208,3/15/2025,62,2815,₹ 620.00,208,477,Chennai,,Credit Card
209,8/10/2025,89,4842,₹ 890.00,209,216,Pune,,Debit Card
210,7/7/2025,71,869,₹ 710.00,210,145,Kochi,,UPI
211,6/15/2025,66,1361,₹ 660.00,211,377,Noida,,EMI
212,2/20/2025,8,1169,₹ 80.00,212,320,Pune,,UPI
213,11/9/2025,18,433,₹ 180.00,213,301,Bangalore,,Cash
214,8/20/2025,92,2547,₹ 920.00,214,86,Bangalore,,Cash
215,6/30/2025,68,835,₹ 680.00,215,33,Bangalore,,UPI
216,10/20/2025,34,3140,₹ 340.00,216,191,Noida,,EMI
217,11/8/2025,47,4042,₹ 470.00,217,186,Chennai,,UPI
218,10/6/2025,21,3030,₹ 210.00,218,75,Noida,,Cash
219,3/29/2025,2,3653,₹ 20.00,219,184,Kochi,,EMI
220,3/1/2025,35,4240,₹ 350.00,220,98,Kochi,,Debit Card
221,6/6/2025,40,3700,₹ 400.00,221,477,Chennai,,Cash
222,6/5/2025,72,406,₹ 720.00,222,393,Chennai,,Cash
223,11/5/2025,82,21,₹ 820.00,223,47,Kochi,,Debit Card
224,5/13/2025,31,4067,₹ 310.00,224,193,Kochi,,Cash
225,10/16/2025,38,1745,₹ 380.00,225,481,Chennai,,EMI
226,5/29/2025,81,2889,₹ 810.00,226,381,Bangalore,,Cash
227,6/14/2025,95,4196,₹ 950.00,227,132,Bangalore,,Cash
228,10/14/2025,93,4002,₹ 930.00,228,423,Pune,,UPI
229,9/18/2025,76,4352,₹ 760.00,229,98,Pune,,UPI
230,10/5/2025,84,1805,₹ 840.00,230,187,Chennai,,Credit Card
231,9/24/2025,3,1310,₹ 30.00,231,334,Pune,,Cash
232,3/4/2025,22,164,₹ 220.00,232,151,Pune,,Debit Card
233,4/7/2025,22,3884,₹ 220.00,233,85,Chennai,,Credit Card
234,2/24/2025,61,3281,₹ 610.00,234,494,Chennai,,Cash
235,1/22/2025,10,1160,₹ 100.00,235,422,Bangalore,,Cash
236,3/8/2025,97,2099,₹ 970.00,236,51,Noida,,Credit Card
237,2/25/2025,85,2246,₹ 850.00,237,457,Bangalore,,Debit Card
238,9/17/2025,92,1736,₹ 920.00,238,466,Kochi,,UPI
239,2/19/2025,67,2589,₹ 670.00,239,317,Kochi,,Cash
240,10/13/2025,6,3238,₹ 60.00,240,33,Pune,,EMI
241,10/2/2025,51,4925,₹ 510.00,241,223,Chennai,,Credit Card
242,4/4/2025,96,4387,₹ 960.00,242,145,Noida,,UPI
243,1/10/2025,100,2189,"₹ 1,000.00",243,94,Noida,,Debit Card
244,2/27/2025,20,2315,₹ 200.00,244,49,Pune,,UPI
245,7/15/2025,29,3190,₹ 290.00,245,368,Noida,,EMI
246,4/12/2025,31,1344,₹ 310.00,246,252,Noida,,Cash
247,5/28/2025,73,4044,₹ 730.00,247,40,Kochi,,EMI
248,10/12/2025,13,975,₹ 130.00,248,319,Noida,Food,UPI
249,6/21/2025,91,1902,₹ 910.00,249,392,Kochi,Food,Debit Card
250,11/8/2025,29,1446,₹ 290.00,250,128,Kochi,Food,Credit Card
251,4/13/2025,18,4506,₹ 180.00,251,415,Kochi,Home Decor,EMI
252,5/21/2025,55,4325,₹ 550.00,252,75,Chennai,Food,Credit Card
253,4/12/2025,52,3829,₹ 520.00,253,200,Kochi,Cosmetics,Cash
254,10/18/2025,74,2462,₹ 740.00,254,99,Noida,Accessories,Credit Card
255,5/15/2025,47,3287,₹ 470.00,255,56,Noida,Accessories,Credit Card
256,7/23/2025,92,210,₹ 920.00,256,442,Chennai,Cosmetics,Cash
257,10/27/2025,87,3606,₹ 870.00,257,269,Chennai,Cosmetics,EMI
258,11/1/2025,18,1770,₹ 180.00,258,417,Chennai,Home Decor,Cash
259,1/8/2025,46,4645,₹ 460.00,259,436,Bangalore,Electronics,Cash
260,4/23/2025,66,70,₹ 660.00,260,337,Chennai,Home Decor,Cash
261,2/16/2025,42,505,₹ 420.00,261,28,Bangalore,Cosmetics,Debit Card
262,8/28/2025,25,3768,₹ 250.00,262,269,Noida,Home Decor,Debit Card
263,2/5/2025,25,4461,₹ 250.00,263,287,Pune,Food,Debit Card
264,9/2/2025,44,460,₹ 440.00,264,318,Kochi,Cosmetics,UPI
265,1/19/2025,32,1836,₹ 320.00,265,294,Noida,Food,Debit Card
266,7/6/2025,96,775,₹ 960.00,266,281,Bangalore,Accessories,Cash
267,9/17/2025,55,284,₹ 550.00,267,342,Bangalore,Food,Debit Card
268,3/10/2025,23,2829,₹ 230.00,268,283,Bangalore,Food,EMI
269,6/26/2025,10,4020,₹ 100.00,269,188,Chennai,Accessories,Debit Card
270,5/3/2025,77,2080,₹ 770.00,270,419,Chennai,Accessories,Debit Card
271,10/17/2025,20,2568,₹ 200.00,271,269,Chennai,Electronics,UPI
272,1/26/2025,31,1117,₹ 310.00,272,346,Bangalore,Accessories,Debit Card
273,2/8/2025,91,2169,₹ 910.00,273,204,Kochi,Accessories,Debit Card
274,8/15/2025,20,3716,₹ 200.00,274,71,Bangalore,Electronics,Credit Card
275,2/3/2025,14,997,₹ 140.00,275,345,Kochi,Food,Cash
276,1/2/2025,4,1983,₹ 40.00,276,297,Kochi,Food,EMI
277,9/16/2025,45,4965,₹ 450.00,277,46,Chennai,Cosmetics,EMI
278,1/31/2025,7,3265,₹ 70.00,278,478,Bangalore,Cosmetics,Debit Card
279,4/6/2025,70,3697,₹ 700.00,279,275,Pune,Electronics,EMI
280,4/8/2025,96,3956,₹ 960.00,280,61,Bangalore,Cosmetics,EMI
281,2/9/2025,22,4755,₹ 220.00,281,427,Pune,Electronics,Debit Card
282,3/27/2025,80,2215,₹ 800.00,282,29,Noida,Home Decor,UPI
283,4/22/2025,81,4116,₹ 810.00,283,23,Kochi,Electronics,Cash
284,9/2/2025,30,1876,₹ 300.00,284,456,Noida,Cosmetics,EMI
285,2/18/2025,81,4102,₹ 810.00,285,207,Kochi,Cosmetics,Credit Card
286,3/12/2025,10,2274,₹ 100.00,286,436,Bangalore,Home Decor,Debit Card
287,9/6/2025,97,2268,₹ 970.00,287,368,Noida,Food,Credit Card
288,8/8/2025,22,3152,₹ 220.00,288,387,Pune,Home Decor,Cash
289,7/3/2025,46,884,₹ 460.00,289,40,Kochi,Food,Credit Card
290,10/9/2025,95,1274,₹ 950.00,290,133,Kochi,Electronics,Cash
291,10/14/2025,34,1800,₹ 340.00,291,302,Pune,Home Decor,EMI
292,1/7/2025,64,3630,₹ 640.00,292,430,Noida,Food,UPI
293,7/20/2025,10,592,₹ 100.00,293,451,Kochi,Cosmetics,EMI
294,5/13/2025,90,2229,₹ 900.00,294,315,Kochi,Accessories,Credit Card
295,2/4/2025,45,4704,₹ 450.00,295,222,Kochi,Electronics,Credit Card
296,6/1/2025,97,1269,₹ 970.00,296,104,Kochi,Electronics,Debit Card
297,4/28/2025,50,4769,₹ 500.00,297,39,Pune,Accessories,Cash
298,9/25/2025,79,532,₹ 790.00,298,416,Chennai,Food,Cash
299,10/18/2025,11,4654,₹ 110.00,299,96,Bangalore,Home Decor,UPI
300,7/6/2025,30,4328,₹ 300.00,300,248,Kochi,Electronics,UPI
301,8/8/2025,75,1096,₹ 750.00,301,283,Kochi,Home Decor,Cash
302,3/31/2025,82,3930,₹ 820.00,302,232,Kochi,Electronics,Credit Card
303,5/3/2025,87,3359,₹ 870.00,303,427,Noida,Food,UPI
304,4/26/2025,82,1604,₹ 820.00,304,3,Chennai,Home Decor,Cash
305,7/14/2025,64,4404,₹ 640.00,305,426,Pune,Food,EMI
306,6/26/2025,33,3518,₹ 330.00,306,422,Chennai,Home Decor,Credit Card
307,1/3/2025,100,3074,"₹ 1,000.00",307,256,Kochi,Home Decor,EMI
308,4/3/2025,96,1334,₹ 960.00,308,190,Bangalore,Accessories,Debit Card
309,4/1/2025,87,3955,₹ 870.00,309,401,Pune,Food,Credit Card
310,9/1/2025,59,2778,₹ 590.00,310,98,Noida,Accessories,Credit Card
311,5/3/2025,25,3058,₹ 250.00,311,121,Bangalore,Accessories,Cash
312,2/26/2025,81,3214,₹ 810.00,312,266,Chennai,Electronics,Cash
313,9/2/2025,48,1856,₹ 480.00,313,102,Noida,Home Decor,Credit Card
314,5/24/2025,17,4416,₹ 170.00,314,19,Bangalore,Electronics,Debit Card
315,9/8/2025,89,1967,₹ 890.00,315,307,Noida,Electronics,Debit Card
316,7/6/2025,25,2784,₹ 250.00,316,103,Noida,Electronics,Credit Card
317,4/4/2025,68,4836,₹ 680.00,317,396,Bangalore,Cosmetics,Credit Card
318,5/13/2025,92,426,₹ 920.00,318,108,Noida,Food,UPI
319,6/6/2025,44,4601,₹ 440.00,319,480,Bangalore,Cosmetics,EMI
320,5/6/2025,46,881,₹ 460.00,320,333,Noida,Food,Credit Card
321,2/18/2025,47,2679,₹ 470.00,321,480,Bangalore,Home Decor,UPI
322,3/10/2025,54,1738,₹ 540.00,322,283,Chennai,Food,Cash
323,11/12/2025,44,1324,₹ 440.00,323,255,Chennai,Electronics,Credit Card
324,4/28/2025,97,4281,₹ 970.00,324,106,Bangalore,Home Decor,EMI
325,9/17/2025,24,829,₹ 240.00,325,237,Kochi,Electronics,UPI
326,7/14/2025,74,4478,₹ 740.00,326,156,Pune,Electronics,UPI
327,7/27/2025,18,1894,₹ 180.00,327,458,Pune,Accessories,EMI
328,5/31/2025,39,423,₹ 390.00,328,69,Noida,Cosmetics,Credit Card
329,7/12/2025,1,3758,₹ 10.00,329,3,Kochi,Accessories,UPI
330,7/1/2025,29,4034,₹ 290.00,330,371,Chennai,Food,UPI
331,7/5/2025,8,4230,₹ 80.00,331,355,Chennai,Cosmetics,Credit Card
332,6/18/2025,53,1870,₹ 530.00,332,30,Kochi,Accessories,Credit Card
333,9/24/2025,26,3579,₹ 260.00,333,268,Bangalore,Cosmetics,UPI
334,3/23/2025,11,3147,₹ 110.00,334,103,Chennai,Cosmetics,UPI
335,4/20/2025,30,4993,₹ 300.00,335,444,Noida,Cosmetics,Debit Card
336,10/20/2025,7,1429,₹ 70.00,336,408,Chennai,Accessories,EMI
337,9/3/2025,56,3491,₹ 560.00,337,43,Chennai,Accessories,Credit Card
338,6/20/2025,63,57,₹ 630.00,338,209,Chennai,Electronics,Cash
339,4/11/2025,48,3800,₹ 480.00,339,82,Noida,Electronics,Debit Card
340,9/13/2025,53,4505,₹ 530.00,340,104,Noida,Food,Credit Card
341,10/18/2025,63,4520,₹ 630.00,341,29,Kochi,Cosmetics,Cash
342,10/17/2025,15,3589,₹ 150.00,342,88,Chennai,Home Decor,UPI
343,8/2/2025,87,1242,₹ 870.00,343,473,Chennai,Home Decor,Credit Card
344,4/25/2025,55,1443,₹ 550.00,344,458,Chennai,Accessories,Cash
345,4/7/2025,6,2472,₹ 60.00,345,12,Kochi,Accessories,Cash
346,4/4/2025,76,573,₹ 760.00,346,325,Bangalore,Electronics,EMI
347,9/28/2025,10,3781,₹ 100.00,347,329,Pune,Food,UPI
348,8/12/2025,77,4967,₹ 770.00,348,142,Chennai,Home Decor,Debit Card
349,8/19/2025,18,4142,₹ 180.00,349,150,Pune,Electronics,Cash
350,6/17/2025,29,2241,₹ 290.00,350,5,Noida,Accessories,Credit Card
351,6/21/2025,57,4548,₹ 570.00,351,251,Pune,Home Decor,EMI
352,4/26/2025,27,3291,₹ 270.00,352,89,Bangalore,Accessories,EMI
353,3/21/2025,22,2191,₹ 220.00,353,242,Chennai,Electronics,Credit Card
354,7/29/2025,32,4802,₹ 320.00,354,16,Kochi,Accessories,Cash
