s.no,Date,Quantity,Item,Price,Invoice no.,Customer Id
414,25-08-2025,37,2614,₹ 370.00,414,122
415,07-01-2025,59,950,₹ 590.00,415,161
416,07-04-2025,28,2349,₹ 280.00,416,428
417,10-09-2025,39,545,₹ 390.00,417,490
418,19-10-2025,29,4474,₹ 290.00,418,20
419,21-04-2025,53,3437,₹ 530.00,419,37
420,28-03-2025,79,897,₹ 790.00,420,346
421,20-08-2025,50,423,₹ 500.00,421,154
422,26-09-2025,24,81,₹ 240.00,422,68
423,09-10-2025,100,3948,₹ 900.00,423,209
424,11-10-2025,11,3745,₹ 110.00,424,188
425,14-09-2025,91,3222,₹ 910.00,425,309
426,20-02-2025,99,639,₹ 990.00,426,304
427,22-09-2025,22,1410,₹ 220.00,427,298
428,16-09-2025,10,1649,₹ 100.00,428,406
429,31-07-2025,35,1828,₹ 350.00,429,338
430,25-03-2025,3,2658,₹ 30.00,430,402
431,13-10-2025,93,3119,₹ 930.00,431,193
432,16-01-2025,30,4682,₹ 300.00,432,135
433,11-04-2025,56,3629,₹ 560.00,433,27
434,29-10-2025,72,1026,₹ 720.00,434,451
435,18-03-2025,7,2465,₹ 70.00,435,365
436,19-01-2025,69,4673,₹ 690.00,436,246
437,01-07-2025,73,4941,₹ 730.00,437,392
438,04-07-2025,43,4784,₹ 430.00,438,269
439,28-04-2025,46,291,₹ 460.00,439,239
440,25-05-2025,2,4165,₹ 20.00,440,434
441,24-09-2025,70,761,₹ 700.00,441,465
442,06-03-2025,39,2028,₹ 390.00,442,366
443,05-02-2025,13,1681,₹ 130.00,443,110
444,26-02-2025,69,3373,₹ 690.00,444,418
445,14-05-2025,84,1330,₹ 840.00,445,219
446,17-09-2025,55,4451,₹ 550.00,446,382
447,25-04-2025,35,3970,₹ 350.00,447,386
448,18-05-2025,70,4414,₹ 700.00,448,42
449,17-08-2025,27,3557,₹ 270.00,449,177
450,30-07-2025,33,3241,₹ 330.00,450,468
451,07-09-2025,84,2916,₹ 840.00,451,375
452,19-01-2025,54,3329,₹ 540.00,452,384
453,23-06-2025,82,3057,₹ 820.00,453,225
454,12-08-2025,83,4322,₹ 830.00,454,443
455,20-06-2025,36,3554,₹ 360.00,455,175
456,28-06-2025,94,3359,₹ 940.00,456,327
457,20-07-2025,61,4431,₹ 610.00,457,321
458,10-01-2025,18,938,₹ 180.00,458,452
459,07-05-2025,76,336,₹ 760.00,459,316
460,29-03-2025,36,2826,₹ 360.00,460,460
461,02-08-2025,69,4688,₹ 690.00,461,19
462,16-08-2025,13,1120,₹ 130.00,462,301
463,22-02-2025,73,651,₹ 730.00,463,457
464,04-03-2025,46,2832,₹ 460.00,464,336
465,01-09-2025,54,3541,₹ 540.00,465,65
466,22-05-2025,24,285,₹ 240.00,466,273
467,07-05-2025,29,3471,₹ 290.00,467,104
468,24-08-2025,6,4477,₹ 60.00,468,131
469,07-05-2025,56,4390,₹ 560.00,469,136
470,13-02-2025,44,2457,₹ 440.00,470,138
471,23-02-2025,61,4989,₹ 610.00,471,366
472,23-10-2025,68,4651,₹ 680.00,472,324
473,28-05-2025,62,3975,₹ 620.00,473,77
474,16-01-2025,95,219,₹ 950.00,474,313
475,30-06-2025,13,3608,₹ 130.00,475,427
476,04-08-2025,11,3133,₹ 110.00,476,49
477,14-05-2025,26,1315,₹ 260.00,477,98
478,23-09-2025,82,2044,₹ 820.00,478,313
479,11-11-2025,68,36,₹ 680.00,479,108
480,12-05-2025,38,272,₹ 380.00,480,22
481,17-10-2025,100,2058,₹ 900.00,481,232
482,08-04-2025,55,4335,₹ 550.00,482,312
483,04-10-2025,78,2733,₹ 780.00,483,373
484,16-10-2025,55,4766,₹ 550.00,484,328
485,12-06-2025,81,1709,₹ 810.00,485,409
486,03-09-2025,37,2043,₹ 370.00,486,485
487,18-07-2025,63,2190,₹ 630.00,487,55
488,14-02-2025,28,1369,₹ 280.00,488,198
489,09-10-2025,45,3528,₹ 450.00,489,444
490,14-01-2025,70,2508,₹ 700.00,490,236
491,28-10-2025,4,968,₹ 40.00,491,168
492,03-11-2025,9,2318,₹ 90.00,492,445
493,05-03-2025,4,1140,₹ 40.00,493,194
494,30-01-2025,18,3083,₹ 180.00,494,257
495,12-10-2025,54,2364,₹ 540.00,495,76
496,05-05-2025,11,4281,₹ 110.00,496,487
497,22-08-2025,65,3713,₹ 650.00,497,487
498,30-04-2025,6,1770,₹ 60.00,498,355
499,02-03-2025,80,1205,₹ 800.00,499,133
500,22-03-2025,58,1429,₹ 580.00,500,90
501,03-08-2025,65,3026,₹ 650.00,501,440
502,29-09-2025,62,2216,₹ 620.00,502,398
503,13-04-2025,27,410,₹ 270.00,503,195
504,08-05-2025,82,3603,₹ 820.00,504,161
505,12-07-2025,68,4664,₹ 680.00,505,203
506,01-03-2025,67,4287,₹ 670.00,506,369
507,16-03-2025,93,4706,₹ 930.00,507,497
508,23-01-2025,80,3425,₹ 800.00,508,109
509,21-06-2025,88,3706,₹ 880.00,509,483
510,20-05-2025,44,643,₹ 440.00,510,117
511,20-04-2025,9,4142,₹ 90.00,511,325
512,31-07-2025,11,2637,₹ 110.00,512,64
513,11-08-2025,87,3043,₹ 870.00,513,187
514,22-06-2025,45,816,₹ 450.00,514,190
515,27-04-2025,13,1209,₹ 130.00,515,250
516,02-09-2025,41,2259,₹ 410.00,516,468
517,12-10-2025,28,3637,₹ 280.00,517,128
518,10-11-2025,71,3184,₹ 710.00,518,271
519,21-05-2025,84,2717,₹ 840.00,519,69
520,09-08-2025,41,3347,₹ 410.00,520,251
521,30-06-2025,21,264,₹ 210.00,521,454
522,21-06-2025,8,2759,₹ 80.00,522,227
523,11-01-2025,48,3628,₹ 480.00,523,487
524,22-02-2025,100,270,₹ 900.00,524,263
525,23-03-2025,63,1198,₹ 630.00,525,202
526,12-04-2025,89,2598,₹ 890.00,526,372
527,03-11-2025,10,4774,₹ 100.00,527,492
528,02-10-2025,80,2383,₹ 800.00,528,299
529,20-06-2025,100,3936,₹ 900.00,529,51
530,10-06-2025,48,1368,₹ 480.00,530,338
531,17-03-2025,90,3907,₹ 900.00,531,133
532,23-07-2025,3,4330,₹ 30.00,532,375
533,02-08-2025,53,2911,₹ 530.00,533,439
534,22-08-2025,54,2673,₹ 540.00,534,96
535,21-08-2025,41,1327,₹ 410.00,535,263
536,11-09-2025,42,1247,₹ 420.00,536,377
537,28-06-2025,33,1474,₹ 330.00,537,234
538,06-08-2025,50,2792,₹ 500.00,538,413
539,12-01-2025,21,1941,₹ 210.00,539,376
